FIRST NAME,LAST NAME,SEX,DOJ,CURRENT DATE,DESIGNATION,AGE,SALARY,UNIT,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP
TOMASA,ARMEN,F,5-18-2014,01-07-2016,Analyst,21.0,44570,Finance,24.0,6.0,2.0,0
ANNIE,,F,,01-07-2016,Associate,,89207,Web,,13.0,,7
OLIVE,ANCY,F,7-28-2014,01-07-2016,Analyst,21.0,40955,Finance,23.0,7.0,3.0,0
CHERRY,AQUILAR,F,04-03-2013,01-07-2016,Analyst,22.0,45550,IT,22.0,8.0,3.0,0
LEON,ABOULAHOUD,M,11-20-2014,01-07-2016,Analyst,,43161,Operations,27.0,3.0,,3
VICTORIA,,F,2-19-2013,01-07-2016,Analyst,22.0,48736,Marketing,20.0,10.0,4.0,0
ELLIOT,AGULAR,M,09-02-2013,01-07-2016,Analyst,22.0,40339,Marketing,19.0,11.0,5.0,0
JACQUES,AKMAL,M,12-05-2013,01-07-2016,Analyst,,40058,Marketing,29.0,1.0,2.0,2
KATHY,ALSOP,F,6-29-2014,01-07-2016,Senior Analyst,28.0,63478,Operations,20.0,10.0,3.0,1
LILIAN,APELA,F,11-11-2014,01-07-2016,Analyst,22.0,43110,Finance,15.0,15.0,3.0,0
BELLE,ARDS,F,03-10-2014,01-07-2016,Analyst,24.0,41590,Marketing,22.0,8.0,4.0,1
VIRGIL,ACKIES,M,02-01-2010,01-07-2016,Senior Manager,36.0,160613,Finance,,11.0,2.0,9
WELDON,AIVAO,M,08-01-2013,01-07-2016,Analyst,24.0,44828,Finance,15.0,15.0,5.0,1
BOYD,AFTON,M,3-22-2013,01-07-2016,Analyst,21.0,45830,Web,23.0,7.0,2.0,0
BART,AGUILLERA,M,7-27-2013,01-07-2016,Analyst,24.0,43457,Management,30.0,0.0,4.0,1
CORINNE,ANDRZEJCZYK,F,8-13-2014,01-07-2016,Analyst,21.0,44812,IT,16.0,,5.0,0
ALONZO,ADSIDE,M,9-16-2013,01-07-2016,Analyst,25.0,47636,Finance,27.0,3.0,3.0,2
ROYCE,AGOSTO,M,06-07-2014,01-07-2016,Analyst,24.0,48651,Web,27.0,3.0,5.0,1
BURTON,AGUILER,M,02-03-2013,01-07-2016,Analyst,23.0,40411,Management,21.0,9.0,3.0,0
PHILLIP,ABDULA,M,07-03-2013,01-07-2016,Analyst,24.0,44665,Web,,12.0,5.0,0
ORVILLE,ADNEY,M,6-23-2013,01-07-2016,Analyst,25.0,46941,Marketing,23.0,7.0,3.0,1
KORY,ALEGRIA,M,10-11-2013,01-07-2016,Analyst,22.0,47734,Marketing,28.0,2.0,5.0,0
NETTIE,ANDRADA,F,07-11-2014,01-07-2016,Analyst,23.0,40541,Operations,15.0,15.0,5.0,1
WENDI,APPERT,F,12-02-2013,01-07-2016,Analyst,25.0,43920,Web,28.0,,2.0,2
BRENT,ABRIL,M,02-11-2013,01-07-2016,Analyst,21.0,45832,Management,28.0,2.0,2.0,0
HARRIETTE,ARMSTRONG,F,1-22-2014,01-07-2016,Analyst,23.0,48102,Marketing,17.0,13.0,2.0,0
GARLAND,AGLER,M,09-07-2014,01-07-2016,Analyst,21.0,48662,Management,30.0,0.0,5.0,0
OSWALDO,ALLENBAUGH,M,2-15-2013,01-07-2016,Analyst,25.0,49685,Operations,15.0,15.0,2.0,1
SEYMOUR,ALBEN,M,12-21-2014,01-07-2016,Senior Analyst,25.0,57488,Operations,25.0,5.0,3.0,0
ROXANNE,AMRINE,F,3-13-2013,01-07-2016,Analyst,21.0,45410,Marketing,29.0,1.0,2.0,0
CLAUD,ALLATEEF,M,05-07-2013,01-07-2016,Analyst,21.0,43030,Management,22.0,8.0,5.0,0
MARIANNA,ARGENTIERI,F,11-07-2014,01-07-2016,Analyst,22.0,42388,Management,30.0,0.0,5.0,0
FOSTER,ALDERMAN,M,5-22-2014,01-07-2016,Senior Analyst,26.0,68295,Operations,28.0,2.0,5.0,3
MAUDIE,ARENIVAR,F,08-06-2011,01-07-2016,Associate,29.0,73397,Web,30.0,0.0,5.0,2
TORI,ARCE,F,12-16-2013,01-07-2016,Analyst,22.0,47008,Management,27.0,3.0,2.0,0
KELLEY,ALLAM,M,7-30-2014,01-07-2016,Analyst,23.0,49898,Marketing,19.0,11.0,5.0,1
HILLARY,ANTONIA,F,12-17-2014,01-07-2016,Analyst,23.0,45389,Management,27.0,3.0,2.0,1
MICKEY,AGRAMONTE,M,3-25-2013,01-07-2016,Analyst,22.0,49326,Web,29.0,1.0,3.0,0
ROSIE,AMILL,F,2-18-2013,01-07-2016,Analyst,24.0,49901,Web,24.0,6.0,4.0,0
GAVIN,AINI,M,11-18-2014,01-07-2016,Analyst,24.0,42529,IT,23.0,7.0,2.0,2
ANNABELLE,ANTROBUS,F,3-23-2014,01-07-2016,Analyst,25.0,44448,Finance,25.0,5.0,5.0,2
CHRISTINE,ALPHONSE,F,8-26-2011,01-07-2016,Senior Manager,39.0,175497,Marketing,30.0,0.0,4.0,13
MELODIE,ARMENT,F,07-01-2014,01-07-2016,Analyst,25.0,47739,IT,21.0,9.0,4.0,2
MICHELL,ARCH,F,1-31-2014,01-07-2016,Analyst,25.0,49046,Web,25.0,5.0,4.0,2
ANDREW,ABALOZ,M,3-31-2014,01-07-2016,Analyst,25.0,47961,Operations,20.0,10.0,3.0,2
LUCRETIA,ARGYLE,F,4-26-2014,01-07-2016,Associate,29.0,96378,Operations,23.0,7.0,2.0,5
JODY,ADOLFO,M,01-07-2015,01-07-2016,Associate,32.0,76411,IT,16.0,14.0,4.0,9
GILDA,ARANCIBIA,F,5-22-2013,01-07-2016,Analyst,23.0,40264,Web,24.0,6.0,2.0,0
JOSPEH,ALLIS,M,2-26-2014,01-07-2016,Analyst,22.0,45364,Web,20.0,10.0,2.0,0
KING,ALIMENT,M,07-05-2013,01-07-2016,Analyst,22.0,42013,Web,27.0,3.0,4.0,0
KURT,ACEVEDO,M,7-22-2013,01-07-2016,Analyst,25.0,42362,Marketing,24.0,6.0,5.0,2
LYNNETTE,APRUZZESE,F,11-18-2013,01-07-2016,Analyst,25.0,44620,Finance,26.0,4.0,5.0,2
DANIELA,ARIAIL,F,8-25-2014,01-07-2016,Analyst,23.0,43285,Operations,23.0,7.0,5.0,1
CARI,ARENALES,F,04-10-2014,01-07-2016,Senior Analyst,28.0,66338,Web,24.0,6.0,3.0,5
ANGELITA,ARAGUS,F,08-04-2013,01-07-2016,Analyst,25.0,46436,IT,27.0,3.0,4.0,2
